epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.33801,0.87076,4.10796,1.07048,0,0,0,0,0.65411,3.81484,0.82406,1e-05,1e-05,1e-05
2,4.24028,0.84531,4.00845,1.04466,0,0,0,0,0.59466,3.80741,0.8091,2.99406e-05,2.99406e-05,2.99406e-05
3,4.74941,0.72653,3.93304,1.00516,0,0,0,0,0.42909,3.80484,0.7775,4.9802e-05,4.9802e-05,4.9802e-05
4,5.24959,0.67782,3.84376,0.9642,0,0,0,0,0.37712,3.79933,0.76924,6.95842e-05,6.95842e-05,6.95842e-05
5,5.74139,0.58545,3.77451,0.91603,0,0,0,0,0.374,3.79562,0.76297,8.92872e-05,8.92872e-05,8.92872e-05
6,6.23434,0.60962,3.72522,0.88684,0.00385,0.07917,0.00409,0.00307,0.39336,3.78157,0.75529,0.000108911,0.000108911,0.000108911
7,6.72296,0.58804,3.49187,0.88251,0.06621,0.47976,0.10578,0.08422,0.42031,3.69298,0.74703,0.000128456,0.000128456,0.000128456
8,7.20791,0.61584,3.19476,0.87148,0.07442,0.77857,0.25976,0.22272,0.48385,3.53712,0.74924,0.000147921,0.000147921,0.000147921
9,7.66984,0.55577,3.08882,0.85655,0.08943,0.91429,0.31934,0.26262,0.54941,3.44767,0.7713,0.000167307,0.000167307,0.000167307
10,8.15476,0.60361,2.96687,0.85522,0.10106,1,0.37338,0.31875,0.56112,3.33045,0.77774,0.000186614,0.000186614,0.000186614
11,8.6536,0.5929,2.83051,0.85129,0.09964,1,0.4183,0.37387,0.54069,3.25636,0.77154,0.000205842,0.000205842,0.000205842
12,9.1074,0.58074,2.70765,0.8686,0.10038,1,0.43588,0.38494,0.52256,3.19265,0.76511,0.000224991,0.000224991,0.000224991
13,9.60591,0.5577,2.64674,0.83927,0.10158,1,0.45778,0.41054,0.50737,3.11713,0.76526,0.00024406,0.00024406,0.00024406
14,10.0635,0.59962,2.58105,0.88366,0.10188,1,0.46988,0.4206,0.51955,3.0564,0.77047,0.00026305,0.00026305,0.00026305
15,10.5396,0.53907,2.47586,0.84243,0.10329,1,0.47003,0.41988,0.52792,3.01107,0.77419,0.000281961,0.000281961,0.000281961
16,11.0115,0.5741,2.49328,0.86506,0.10474,1,0.46681,0.41911,0.50459,2.96347,0.77074,0.000300793,0.000300793,0.000300793
17,11.478,0.55801,2.36104,0.8555,0.1043,1,0.4603,0.39867,0.50382,2.92189,0.76796,0.000319546,0.000319546,0.000319546
18,11.944,0.58394,2.28,0.86218,0.10638,1,0.4637,0.40828,0.51354,2.86737,0.76905,0.000338219,0.000338219,0.000338219
19,12.4076,0.56881,2.22117,0.87827,0.10356,1,0.4681,0.41699,0.52733,2.78743,0.77551,0.000356813,0.000356813,0.000356813
20,12.8789,0.55587,2.1746,0.84413,0.10535,1,0.5516,0.47954,0.5408,2.7093,0.78233,0.000375328,0.000375328,0.000375328
21,13.3527,0.54627,2.1033,0.87339,0.32096,0.61969,0.60304,0.53254,0.51655,2.66001,0.78441,0.000393764,0.000393764,0.000393764
22,13.8269,0.52137,1.89236,0.85849,0.81566,0.31385,0.65456,0.59253,0.47254,2.6114,0.7808,0.000412121,0.000412121,0.000412121
23,14.3021,0.53715,1.85704,0.83623,0.74193,0.25208,0.69218,0.61628,0.49508,2.57409,0.7763,0.000430398,0.000430398,0.000430398
24,14.7775,0.57734,1.91118,0.85044,0.73014,0.3014,0.71263,0.61697,0.54569,2.45368,0.77516,0.000448596,0.000448596,0.000448596
25,15.2316,0.56457,1.74226,0.873,0.72899,0.34943,0.73125,0.64185,0.53384,2.24793,0.76937,0.000466715,0.000466715,0.000466715
26,15.7187,0.56095,1.6272,0.86076,0.4356,0.3929,0.74126,0.6368,0.58067,2.05439,0.7748,0.000484755,0.000484755,0.000484755
27,16.1681,0.54425,1.59182,0.8495,0.65125,0.44359,0.70967,0.60263,0.58675,1.98453,0.78686,0.000502716,0.000502716,0.000502716
28,16.6133,0.56487,1.52285,0.86966,0.65125,0.44359,0.70967,0.60263,0.58675,1.98453,0.78686,0.000520597,0.000520597,0.000520597
29,17.0471,0.52453,1.47664,0.91652,0.62926,0.45824,0.75642,0.65748,0.56605,1.99269,0.78768,0.000538399,0.000538399,0.000538399
30,17.516,0.55645,1.54598,0.86466,0.71517,0.48949,0.81619,0.70666,0.54962,1.99569,0.78312,0.000556122,0.000556122,0.000556122
31,17.9647,0.54989,1.55804,0.8613,0.71517,0.48949,0.81619,0.70666,0.54962,1.99569,0.78312,0.000573766,0.000573766,0.000573766
32,18.4688,0.54474,1.46477,0.86386,0.69073,0.59515,0.89692,0.79634,0.50249,1.88171,0.7787,0.000591331,0.000591331,0.000591331
33,18.9352,0.52053,1.33788,0.84506,0.64581,0.59993,0.90512,0.79689,0.50773,1.80886,0.7809,0.000608816,0.000608816,0.000608816
34,19.3872,0.5268,1.27374,0.86227,0.64581,0.59993,0.90512,0.79689,0.50773,1.80886,0.7809,0.000626222,0.000626222,0.000626222
35,19.883,0.55738,1.36958,0.85036,0.63354,0.79025,0.90257,0.81668,0.48252,1.70389,0.78212,0.000643549,0.000643549,0.000643549
36,20.3569,0.5759,1.21309,0.88362,0.83683,0.74674,0.96691,0.84833,0.52869,1.43901,0.7874,0.000660797,0.000660797,0.000660797
37,20.8014,0.50408,1.18222,0.84757,0.83683,0.74674,0.96691,0.84833,0.52869,1.43901,0.7874,0.000677966,0.000677966,0.000677966
38,21.2714,0.52244,1.26993,0.87417,0.88591,0.85182,0.98111,0.86946,0.56039,1.19728,0.80021,0.000695055,0.000695055,0.000695055
39,21.718,0.51148,1.16712,0.86513,0.91908,0.89173,0.99383,0.86991,0.5763,1.10388,0.8062,0.000712065,0.000712065,0.000712065
40,22.1718,0.50636,1.05218,0.87553,0.91908,0.89173,0.99383,0.86991,0.5763,1.10388,0.8062,0.000728996,0.000728996,0.000728996
41,22.6368,0.51514,1.20939,0.84998,0.90688,0.89407,0.995,0.8613,0.57429,1.06947,0.81031,0.000745848,0.000745848,0.000745848
